,Scn11a_Scn9a,Scn11a_Scn7a_Scn9a,Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn7a,Scn10a_Scn11a_Scn7a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a,Scn10a_Scn7a,Scn10a_Scn11a,Scn7a,Scn10a
Kcnq5,1.7849092147354109,1.0357709622894193,2.514947069158178,1.4444521856351944,2.177408829026081,1.5068607653229218,1.8466093854556709,1.7767111137035096,1.4463408561504933,0.7440734073715219,1.089680920719225,1.0897238213181952,0.7541170982920593,0.34198060345642367
Slc39a8,0.009813807824904052,0.0125997170420273,0.047267876294678456,0.02313735639442317,0.03430624405373671,0.06294808645265278,0.07343522478823902,0.04412005357313517,0.03310266388076724,0.06000226158520178,0.013677047779545827,0.07262722772355522,0.0032740748117021335,0.012490300714014756
Ccl3,6.253299181216675,3.24881691757146,9.666701022311045,4.826589109368288,8.325404336046354,12.92384011383653,14.066687346241169,0.17937898728950782,1.1087516856966118,3.4545479478728285,10.575847551781827,4.737477476214094,9.458773878284592,1.2395874319399898
Slc34a1,4.205595816601717,3.6726099614020056,3.9484724068808457,3.8481315967796905,3.5958302033755274,0.34509656889823354,0.7175020238504697,3.4211084367887756,3.042556413385659,0.19338599992458727,0.9033674932169772,0.16992483419825266,0.5415807357684892,0.35434112320760075
Asic2,1.1896637116288875,1.6249763523249583,0.3598932028459688,1.0988030853339368,0.2704933648371002,1.2655901880398304,1.1686085914606188,0.793455230971045,0.6982121263900276,0.8357466317406205,0.3322221052835408,0.747324703582723,0.4285517754654166,0.08821669266999448
Nefl,0.06350217146090094,0.04218699544903541,0.049485311526909326,0.056783625316083705,0.04270708754172728,0.007852510651893721,0.018313998590389957,0.028315078856570287,0.019959531214829122,0.014298219494753557,0.03253548313932218,0.0046467083293900945,0.02195463065138563,0.009549198285718274
Gabrb3,0.4242790126337357,0.2674767765049742,0.11912333291477163,0.1822901054092717,0.3583520127622727,0.388298707000578,0.1423994925013633,0.27497894575291976,0.5159150515676917,0.5448620661095938,0.3990388517279325,0.3006879848154128,0.1558113729447062,0.24128999527708045
Rgs7,0.7297637092540097,0.5126839832432837,0.4035456230512693,0.5773430339794174,0.2525514201831821,0.10981667262341122,0.03820491076296827,0.18153816421188318,0.03155147099234991,0.3220484542733221,0.3640938104593115,0.1732188692262393,0.21726923952064262,0.14753279986161696
Grid1,0.48338787395625255,0.20366449768993664,0.5803960709137205,0.37946781355673775,0.4759201836774935,0.36937793181202344,0.469393145500508,0.3041499896100765,0.2050183557706348,0.09167823672896182,0.37619002042765837,0.19784998997111167,0.27497770009915556,0.10749711584282938
Bcl2,1.277142912901482,1.2594801684751364,1.0153478502266675,1.1622970536050878,0.8996889074738942,0.24447854502397537,0.13408976494410318,0.9972484381742999,0.8883654224670862,0.2631652920857372,0.12912069704127685,0.14699431012104486,0.01894272119466806,0.11599028468215566
Hnf1a,0.02936472168571624,0.028853732430137818,0.011977535624929885,0.03943457042998499,0.055104839322356824,0.015145654378366147,0.05586110151856341,0.011330285372167624,0.05606549502612227,0.017141910193928214,0.07116345917109926,0.05372858214536626,0.0016215321294018408,0.06927621273853027
Kcnj6,0.06163970656163765,0.006380411944328602,0.046468274658373235,0.0416060316141657,0.025798611450528502,0.05383344510587045,0.07748815649385131,0.022095509965699988,0.04161628871211189,0.014740597992940637,0.09351098810548372,0.009724486639131752,0.06973318603498178,0.024721533558677414
Prkcb,0.025161114258573695,0.13049631795122005,0.08726113479435992,0.00989071367565969,0.12278623179258116,0.03706471570801103,0.072691653802988,0.24370335325106263,0.2798514830069988,0.11831713734677964,0.19292583171944355,0.08364272765414585,0.1568316144328143,0.03518961349141654
Kcnh8,0.08188880815447808,0.08744170267788282,0.06468796713724213,0.04173708724272154,0.024618392095042158,0.020445504741264713,0.018391918640441096,0.0701587224061547,0.03002343110931377,0.015549755124097779,0.03396631598189082,0.023271239745203155,0.004747891351756987,0.03870599307744537
Trdn,0.017559376998074378,0.0007055401031952676,0.0014506432185465092,0.015660353299596894,0.0009165427756931779,0.0007516969654607252,0.0024660934803791587,0.01625379803943187,0.01882539338706555,0.017612127090942828,0.019959531888857775,0.01608235846759086,0.018007758097511845,0.0018330855513863558
Ano1,0.21147339889392372,0.2591182204053643,0.13010624129873816,0.20826633731189756,0.12646560840109602,0.12954191089316697,0.1266583062504249,0.17813647236434899,0.17466788798390842,0.08130521883581182,0.04503651204653679,0.07804310006561971,0.048491328666057765,0.003840216012982061
Grid2,0.9575156886166935,2.1752207438090707,1.1231507479252199,0.5456434655838942,0.3780287402883994,1.0705472342919098,0.37831155649345233,2.3427411654039463,0.864281158674181,0.15479381098849654,0.22050105513385787,1.632593968596275,1.2243983245968961,1.4758204520804743
Adcy8,0.5973170913256642,0.6651669497781737,0.5274188332113067,1.1539343635471757,1.0836835015194544,0.13373522870397098,0.7034153981485572,0.598072666310949,1.1523057127422802,0.0660700723684799,0.6397295515702575,0.6371438346102065,0.06979753506506367,0.571208085932367
Fgf14,4.516631679168831,3.1014791480779884,2.129957158195205,2.200573730859432,0.18990742605156602,0.9646356695662732,1.3416275494146084,0.7327689503334445,1.5604488379065367,2.394458910344794,3.7198331679757257,0.06060784241403259,1.4107470054438125,2.336759606109711
Celf4,0.09111944712332802,0.033588024099668365,0.06025448569788631,0.11000728872724479,0.07899044074639698,0.0263626939478082,0.008017296370898203,0.002712211216376548,0.020374130396777417,0.0308975108846298,0.039001598168799424,0.05000232522138975,0.057130017916490604,0.01887698996405326
Slc1a2,0.29519893150419435,0.16614798256110355,0.07935015989517281,0.002291588018184653,0.21717505624770903,0.08002507973692083,0.21193265126841745,0.048813965969082725,0.34065397968341177,0.21124203684119605,0.42200536249225806,0.08587961304946849,0.13069115689108166,0.29645457734165326
Hoxd1,0.47359961408890766,0.11750771088536303,0.7108557018230491,0.2801898366316985,0.5198130494555299,0.6029881916589895,0.7947807416492338,0.3632927053902772,0.16311580522015567,0.24153860463018126,0.543330852672644,0.4263923460966701,0.3541222966124006,0.18174574080826691
Grm3,0.7042690173687804,0.5815270837124621,0.5063035393308966,0.538131769503937,0.3405860641721695,0.08347907844193744,0.07724776530739941,0.38614553501879695,0.22355303931903356,0.20189269256192566,0.27678039373809676,0.03915093356310498,0.11633339950285841,0.16244325431114492
Grik3,0.049224719353719755,0.01662510922356929,0.11292200057633259,0.05714275694687911,0.12039707307774415,0.1318173157654085,0.12325559532163613,0.04746669134009215,0.05503866184568742,0.06618205123488823,0.057654934898758135,0.057654934898758135,0.06557989331344596,0.007973407881264341
Rapgef4,0.00648944458667821,0.04213222747314092,0.011885024731079205,0.01952978699467239,0.0009709585916085892,0.05257925261728457,0.06593300437742741,0.023751613326805244,0.03688413558675607,0.01898900001451664,0.04681495224024779,0.03226901053248363,0.03338131111011401,0.013212411217537159
Grin2a,0.6611885632060985,0.5077933351565953,0.3189435510766653,0.0035037970945348473,0.9834153999921812,0.8182468542461525,0.13804470894395515,0.47478901798842676,1.1394691430034156,0.9739330947252575,0.8365744603909757,0.29458848410672817,0.1574503554024907,0.6785115391067708
Scn11a,0.0,0.0,0.01623818043980278,0.0,0.013885614326340879,0.0,0.0,0.0034358414357828367,0.0011489278536865337,0.0,0.01516037695115267,0.0,0.011987147403192101,0.002494814843534753
Hcn1,0.6185268662193607,0.36255590885782774,0.949341036935159,0.6717736457534854,1.0090118366776126,0.5871768099118112,0.5215911325335663,0.69216879051103,0.7544249532347662,0.33806081040110675,0.17889503487633196,0.27957815603552794,0.24963828576896346,0.0646586532243564
