,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn11a_Scn9a,Scn11a_Scn7a,Scn10a_Scn7a,Scn9a,Scn7a,Scn10a_Scn11a,Scn10a,Scn11a
Ephb1,0.9837094922745492,0.3658847236217579,0.6575074968150703,0.3295172550840259,0.4259814248040143,0.014928739067855752,0.6153333054105081,0.7091854324766672,0.09756925626150395,0.29885608837119115,0.3789649435670993,0.04360076011885684,0.2723540517606592,0.3184462818637289
Phox2b,0.0579357441467706,0.017631256285603237,0.005250753011415173,0.004624420687701388,0.11062073247996242,0.047413362005071354,0.008142320768711938,0.10005659810052535,0.05772696614509995,0.060368002542122816,0.046515618839618446,0.06597367759594537,0.013424390480377708,0.053332201259236274
Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pid1,0.13645972382515242,0.09417357536254892,0.10736627990798026,0.0011005984645204433,0.25361553991183167,0.022330563052093737,0.20400172278246423,0.04804981161106011,0.27791559697347346,0.18113533764840437,0.07171267871972976,0.19044698318457604,0.20962056705073334,0.017957132970049465
Kcnd2,0.8973011343122814,1.4024113397118942,0.8499736524672898,1.2566182268902244,0.8025215796910649,1.2116166688938688,0.6954896253748246,0.23895288081426305,0.7589425045080158,0.6516094380208632,0.19552956171568747,0.6067532012700818,0.5686461799944906,0.03640415312162735
Nrcam,0.26144045698478274,0.28799649677354294,0.23431390723023535,0.17549646942478703,0.20660198967668997,0.148481055069256,0.12364406111323159,0.15485331519630138,0.17989037027430899,0.09707322316127351,0.12811205222876448,0.07737108492614145,0.050652054010908866,0.026607888057464606
Scn10a,0.006254804603752742,0.0,0.017005025043871157,0.0,0.0,0.0,0.0017450258758588742,0.006922654019219687,0.0,0.012523971790604499,0.0038778353653611598,0.0,0.0,0.010778945799084684
Myc,0.008214351101954615,0.0018833422067426294,0.0016492545050879766,0.006873667024935326,0.00011704386510856453,0.00020216667804405308,0.009959369163436487,0.003756044177010805,0.006831105722006559,0.003436833512467663,0.002798412469006143,0.002777131710432473,0.003936930053637474,0.006565096953897593
Zfhx2,0.18937971788237362,0.5516121113702238,0.26071551557500583,0.1843594015771038,0.527325070325672,0.2544808422483742,0.11250529833936503,0.2357028070142311,0.5986460599983203,0.04182110818649955,0.307556935097641,0.22548447816388503,0.2971016530818819,0.07164678350426326
Cacnb2,0.2693341300847402,0.5246197456879608,0.6256751791620903,0.5412325560766615,0.8279377442166616,0.8941269922591986,0.642067410303883,0.7312388462802161,0.47376115429803395,0.994079529498788,0.3774482960649278,0.44478180834736264,0.0941345904642642,0.3497924487257047
Ucn3,0.0967449452244933,0.06317912399307607,0.01047719145031985,0.18336747657080665,0.10951713900840228,0.09617950892665554,0.131303046296611,0.058699989958513235,0.023360255866844294,0.04423148728109098,0.028038959540070144,0.13746740013765227,0.051016716902869776,0.08702166705227482
Snap25,0.44179620195342545,0.03219185632365756,0.20027644910933323,0.3160863172763677,0.039950229488420225,0.0837527043467913,0.4845480328011182,0.20521971641176312,0.20209482050332475,0.25055770479129197,0.037202471685626376,0.07163024797169187,0.16108050577527663,0.23355932736546983
Nrg1,1.2158591947195363,0.039859908187991636,0.7454594553060285,0.9921157528387607,0.6402398423194855,0.5275762422533202,1.6663289169296411,0.041681320966251524,1.104541795810288,1.1955068537923328,0.4272929363744244,0.1645870972927836,0.6396591250556082,0.48043065859427225
Pclo,0.7189014583293745,1.1235572801868436,0.4913272152093735,1.8962869569008833,0.3164632611532952,1.671645183494828,1.28068011379713,0.34159045763058016,0.0815396436118689,1.0530508613101626,0.5807294285107922,0.8796531267367232,0.6427134850804695,0.2399087330337306
Snca,0.6122706184483123,0.6322416538837662,0.6607586811366558,0.342204311700179,0.19451216690741188,0.3926689297061677,0.3680135888178088,0.2058572794601276,0.23395729273596827,0.4199235061621868,0.24600504727299552,0.05147003196514224,0.007637673209372583,0.04468352799391006
Akap6,0.04971783375293966,0.20240305553201912,0.031670727436802784,0.162185557444393,0.4440170694551675,0.08258934533709626,0.07498731108086601,0.20910449945576592,0.360915610836805,0.15387718619440857,0.1261090050145376,0.3186055757771111,0.23845311321431087,0.080284897786505
Lrrc7,0.7254120621749277,0.8222476825777376,0.752296127250709,0.699947102599219,0.1323578665178382,0.717681825018001,0.6343587325149838,0.06461877418518114,0.16088144785968125,0.6540149748297398,0.09496694467008777,0.03307183798281818,0.05645658841785014,0.025623622201646903
Ptn,0.16063811222070287,0.09454070148939331,0.13985992871130884,0.11304468477530076,0.02390757276014431,0.09291265466731766,0.15881368033766582,0.019561892753223325,0.04255725276026334,0.13875767265316238,0.0003294101136074505,0.023147395288756607,0.0446794145136191,0.021050572926154414
Slc6a4,1.5657179512940957,1.24280618149298,1.2050779384604315,1.3701534209942037,0.6216880237191248,1.0186393049975626,1.3236535092669888,0.5712681801624798,0.27233026507883157,0.9713846712965433,0.22068593121999605,0.40192624860510395,0.06097819682887773,0.34256530222162135
Kdr,0.06609202960572841,0.34025070969987875,0.3796411952225832,0.16436284683707528,0.5278689920557875,0.48058216257389996,0.2083176955971614,0.48101578190582533,0.2148675644239632,0.5245142142522883,0.16653092052349205,0.37090043265445705,0.05527448046277846,0.3161280355171947
Syt1,1.5885691549409344,1.199032595176276,1.2019869365800102,1.3429172087827332,0.6259385127013077,0.9725664462758762,1.3385911867424347,0.6201880576158973,0.24123797393340637,0.9663059922340076,0.2339751651219721,0.38714494022234547,0.019695766710675196,0.3694363284182034
