,Scn11a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn9a,Scn10a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Grid1,0.6856086982883434,0.6185317481461339,0.46948401339046203,0.5874847042265943,0.4327422336055032,0.5224884615667282,0.363201217047484,0.02918532322311802,0.16257265722033998,0.07244312085222722,0.04670746994127893,0.06904820557151992,0.09275785780167124,0.1465837004931394
Bcl2,0.11759728868896444,0.10237530776566277,0.13975870733883594,0.11789575761445191,0.14934706890664676,0.10078968279676404,0.13567339455628383,0.03600297727189506,0.014699661086120554,0.0369730051918389,0.026526545854462635,0.015968159496395695,0.0005036685886078742,0.023765694992531
Hnf1a,5.838775640964554e-05,5.838775640964554e-05,5.838775640964554e-05,5.838775640964554e-05,5.838775640964554e-05,5.838775640964554e-05,5.838775640964554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnj6,0.5357933509765364,0.5266536768718032,0.5299738792124148,0.572881129236808,0.5765935535179263,0.5644346733622202,0.5680923610285586,0.02199179085446782,0.024919772478831644,0.016154069063137114,0.03550064291955383,0.012770015500341753,0.03858368795012173,0.003384054174924803
Prkcb,0.413602276000573,0.43728670146241116,0.4596368256109179,0.34115201629172603,0.3651074924764973,0.3645028839146314,0.38710319393173787,0.08245775391679488,0.05575019819862677,0.0064214885962989975,0.10130524092610571,0.018472204708531278,0.07451428875244437,0.02456010923179734
Kcnh8,0.3180917822255415,0.16420180888547853,0.3815378532458168,0.36888800877587913,0.5776103599504391,0.21603168192128597,0.42714125934922803,0.34287462727782914,0.11008313393158263,0.386164653766001,0.18841861336617133,0.1590335764581294,0.050205587636739116,0.23279150366867285
Trdn,0.012386969697407785,0.020215109658011945,0.037077470007550406,0.04464770586193472,0.06650126405794743,0.051967624462300174,0.06586408860840658,0.00825292325426602,0.038086328930115175,0.015269424779974668,0.008965950936278852,0.0066827436598726605,0.03078158199795945,0.014283321323532269
Ano1,0.1013778577622387,0.09469797258085752,0.07704603346080202,0.27053518293345635,0.289253068077926,0.0736350290735313,0.09142909655567512,0.04449937772642597,0.026904287089848943,0.21536221462913502,0.1537225417642449,0.1976818431601626,0.17003850861695222,0.016429665250342732
Grid2,0.2826876761003141,0.8552221791518412,0.7268971581621002,0.2523349142545496,0.35324927976228027,0.3219158089396526,0.2083994235733056,0.1369551941722638,0.025155035118642616,0.6726642643574635,0.4265077919769495,0.5735151914615548,0.5483601625129628,0.1145461256786863
Adcy8,0.054184435335238236,0.2022874055208122,0.354776133097991,0.026244768338189395,0.19561263027303288,0.16837189013488213,0.33623706137515796,0.03814402610693419,0.12119421283002672,0.02285496398482529,0.18970667515634526,0.1511782507099406,0.033967928011278146,0.16891355859710408
