,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn9a,Scn10a_Scn9a,Scn11a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Slc6a11,0.36228481299496235,0.37942719569377503,0.3510692457670795,0.3703835781281672,0.24336792663323406,0.2337843880981459,0.2533809446696191,0.09570042054882447,0.11433985478612428,0.09887857215235447,0.024541716080813857,0.11852421656574261,0.006209054092273697,0.01995241501518112
Nalcn,0.29599777727127574,0.38153946816885276,0.2053803626487758,0.29648527412150794,0.532664069072979,0.4435091570289285,0.5356177243371354,0.4035916072746255,0.3196558138248194,0.3176197798800953,0.17182897016576046,0.23285235151588776,0.09170711700176988,0.09099020880780312
Pias3,0.011169949205415334,0.018238088318426934,0.0031951864171299266,0.009207066348395678,0.02301766439423072,0.013150436795623124,0.020104148096428787,0.02583435849906994,0.01873981228627613,0.01778037588819639,0.013986642424199464,0.010228117835875426,0.0069537115961573566,0.0069801181052361735
Ephb1,0.7192465038181842,0.4709073103928359,0.5255502039773867,0.2696313034331816,1.4116883702232308,1.2343229057254923,0.9924264633511725,0.6073422697442504,0.8386270787999225,0.44827151189506936,0.092886021751008,0.6927519361367046,0.15996654535888674,0.2616725965076324
Phox2b,0.1057058892860742,0.08624288491982612,0.056517928969682864,0.0384051864495178,0.11307443372398651,0.06538140480192145,0.051965633636064795,0.03658233823235011,0.05215852550406286,0.005333517754925581,0.023899560695599068,0.011583282238757311,0.04294783848422539,0.018971120394182382
Jun,0.002512652004319065,0.002512652004319065,0.002512652004319065,0.002512652004319065,0.0025322056685467167,0.0025322056685467167,0.0025322056685467167,2.9330568513983193e-05,2.9330568513983193e-05,2.9330568513983193e-05,0.0,2.9330568513983193e-05,0.0,0.0
Pid1,0.3187005517796769,0.3000579534554198,0.24247225938466935,0.22076766999266348,0.2509138830498191,0.17059166819528046,0.14914082916723986,0.02605227640656334,8.458531604926421e-05,0.09591975204696832,0.045185473904951735,0.07232044312893939,0.06785434022393551,0.02483424911562017
Kcnd2,2.471497126271163,2.715461634326391,2.353502188720319,2.611973759921994,2.1713510541100036,2.053671409445181,2.310701344789825,0.0735722863505675,0.18296206186618996,0.03252859131069057,0.38381034806936254,0.30730958889095705,0.12443762690373317,0.27586228399791757
Nrcam,1.1240636724229622,1.132191207365285,1.4752696010178201,1.46631405003392,0.7795036235754993,1.1201197662143316,1.1088762954087057,0.7044382299576021,0.6924757012477909,0.3844133565750551,0.3356262858353416,0.3710126937783733,0.33473290587842947,0.01564498291280141
Scn10a,4.1136385241847675,0.0,3.8568411258790665,0.0,3.7876094935066,3.491881744845756,0.0,0.0,0.10834145841088798,0.0,0.0,0.3734811049206523,0.21693408068315184,0.0
Myc,0.013375732277801268,0.015640246998652865,0.01335761595254612,0.015628169718649873,0.01342404139781325,0.013405925883059413,0.015682517883914004,0.003508487772331479,0.00014492892430347342,0.0034420620839139566,0.0034118684786558127,8.454187588744828e-05,6.038705327903299e-05,0.0033454427902382894
Zfhx2,0.02616921914366834,0.006182301897691418,0.03436536962930804,0.017236820699313912,0.0011693320569434581,0.009636162401841198,0.008434349177400633,0.05599801275542178,0.03451695061497409,0.04346017427444684,0.029666388137566734,0.024696727222525982,0.009571199485568864,0.01760494340712538
Cacnb2,0.09647300068148619,0.06928046254475752,0.22195375298849981,0.23037133906438587,0.3494454583386516,0.04726660889335749,0.018792748330060255,0.5314112287726008,0.5676086253908469,0.22220289478614544,0.28082345626209676,0.2684195267813623,0.31171760645329355,0.023615508923886277
Snap25,0.45170374391097934,0.4951360573380582,0.30926471255009225,0.3500969773702995,0.4196450409064859,0.27684737807615206,0.30155422728289527,0.14975246381184026,0.11481193416884719,0.0006019813424392785,0.19294142055408825,0.03323705433762608,0.14631988822568373,0.04669838254295595
Nrg1,0.495196715325848,0.5381265675129017,0.5687166776087665,0.6186459254613568,0.8733733366938881,0.9553962457325266,0.9999333470626062,0.3817541008953675,0.3462903236679688,0.44640810256158225,0.0019183623297169675,0.39596035357154274,0.0433964662417551,0.05221056369683069
Pclo,0.8811090661813143,0.6645170503918593,1.0323338665459936,0.8227717253435449,0.8072677774369159,0.9657131600380949,0.770783108099946,0.43708044702823895,0.22588347944329365,0.2720410848756697,0.3690974156776362,0.07370504483161183,0.14719211128842197,0.2138944859729421
Snca,0.014550296457027764,0.09885928797653408,0.036375741652840035,0.04807924135412761,0.061887423686476664,0.018078377976229965,0.08866434826909061,0.17684206164844765,0.09701008764204148,0.12270425673878696,0.13255855202341693,0.05169248397903318,0.026679599645749726,0.08317757356520575
Akap6,0.7855293780391459,0.5294981950672816,1.1399511912589413,0.8698357428388828,0.39268488908754967,0.7444335426467339,0.48832253464063424,1.002778814871019,0.7418799782916071,0.6607256145816407,0.6232206840888291,0.3860616704451074,0.35685568186058936,0.2880699980202722
Lrrc7,1.363715412509918,1.422696599793528,1.4066775353102148,1.4698009227046334,1.2922708015789897,1.3375422612882484,1.401032267448274,0.06176712090032158,0.12349758761162212,0.007441380011766548,0.016459013152073446,0.07639328007559618,0.04409842572256914,0.06407651546583068
Ptn,3.3632637273941333,3.9627078420157202,3.21642541379172,3.7478042250013686,3.314538224310549,3.1279675541775043,3.663767813903543,0.6799164456236769,0.10313567342440481,0.4483499423601967,0.7351086073168868,0.11134682862496838,0.15501933059107983,0.5352738439428502
Slc6a4,0.02644408533338507,0.05128678641536882,0.016821612246980533,0.039949558020449735,0.021413190464954667,0.010005104208304194,0.030738061673330094,0.021016387009880212,0.0026217340366051717,0.009494928745080887,0.03088686071027336,0.008262005184475712,0.009013096521653701,0.019663005274538785
Kdr,0.17329872576149857,0.19662754596053855,0.16317881623870273,0.18330338328308657,0.1746434458894175,0.1650844603793013,0.18510914235597165,0.029599019981551435,0.008729098907771998,0.019164059444661714,0.030475004290365326,0.0009374559928152882,0.008237317845114512,0.018165131417190172
Syt1,1.839088400870547,1.8338621635995276,2.279915422841823,2.2777883768982674,1.3382204412301284,1.782268236424024,1.7919914744837964,0.9448549638867363,0.9409656941516942,0.5056079967751486,0.4376669377407663,0.507674200793392,0.4250875192106404,0.006806261544067128
Creb1,0.031237598083146103,0.04863998899521488,0.022156104612324413,0.038440422627645104,0.0450043494677724,0.03358022640201587,0.04961355007553667,0.03940637708411731,0.025723290905446,0.029663167313440243,0.027716047704926798,0.012945310658677987,0.012519378005053473,0.016550525604819746
Tacr1,1.030867132685958,0.7543210812623665,1.0937346059790216,0.8163916456421604,1.0366934632314868,1.0826486825481167,0.7918821953399576,0.35630804121559895,0.06331019716587792,0.2989658070160072,0.3362435671190308,0.015495503118646671,0.060582990180984064,0.2759262112617354
Cacna2d1,1.0140944033502,1.3238040985485728,1.0722971600143487,1.3613781899256814,0.9188917306243143,0.9539590107549644,1.2210250724004235,0.15846100339295024,0.14336414574431536,0.16659762269685946,0.2707631515369954,0.12566245293451164,0.04073911253466124,0.31316879749832255
Kctd8,0.03277732016929028,0.10878607737418024,0.007024900520774378,0.13578700295262908,0.013100939997933849,0.017795304867097062,0.1539485300629506,0.1542981111089048,0.01166932504102627,0.17828598433037943,0.13069311389575022,0.03604006868512087,0.020858294780132458,0.15085225077324943
Kctd16,2.126370034539299,2.499774329702083,1.8491319596751616,2.2169969409137393,2.3551013231071787,2.0806933505659533,2.453340967824049,0.9066918384797377,0.5195755494008469,0.6212355813819148,0.6727693586075603,0.23207605882535914,0.28830161993820885,0.3810018745552454
Plcb1,1.4569985161797894,1.364102097735525,1.592215500881606,1.5060324410678212,1.3260515069585725,1.4689545470239072,1.3565583251388078,0.3758082979508595,0.2624869893354589,0.2292402229600805,0.2173909439904386,0.12558573486909835,0.12999807271524969,0.07894773536081964
Gabra2,0.6754378641751716,0.556550456258672,0.7118256153872955,0.5984273712846361,0.5566808061196117,0.5925310486127099,0.47621723063932225,0.2726151065104564,0.15340198790369686,0.23187838385301346,0.1500792005208529,0.12193324146901832,0.03329302006554385,0.1104012165987021
Slc4a4,0.10516041572128851,0.021678150844710344,0.257300342723691,0.17972870954672532,0.03132549317613959,0.1847488221161804,0.1058588672101694,0.3164940060705363,0.22730190415396115,0.1627476426943666,0.23636430482517112,0.0761660002513522,0.14910166785946657,0.08253062732292048
Neto1,0.6686342753388992,0.7762888065982517,0.545634069412829,0.6514777414988222,0.592364747429643,0.46681281801600194,0.5663418711305263,0.1545263548477479,0.054197697786782045,0.02698713824197059,0.23775727294066337,0.0777159030678881,0.12920900912155034,0.10670208866011022
Gria1,0.25837734702705323,0.20652343367347503,0.37108613461333145,0.3231422618412117,0.23937824626902635,0.35161467316351563,0.31238310129515057,0.18631720237787314,0.1428344393165761,0.07090550474771144,0.1712806218307774,0.025926957777452467,0.11845575828551867,0.052168817546335185
Kcnmb2,4.776215029165903,5.376832889616236,4.249162731149128,4.840111780034595,5.3320163396137055,4.787565117645501,5.367841525682592,1.6830276603944447,1.1260353507768197,1.1649197085462784,1.162374127565779,0.5622236236999001,0.5509436700531474,0.6125047350807539
Casq2,0.1255609962322024,0.12120698240273937,0.12628260932683238,0.12119887500181192,0.0651399346106012,0.06598316960156031,0.06113456731530372,0.06419129470165136,0.05936701679466059,0.06255347347826479,0.005610758914974237,0.058061622950617724,0.0012162049032080802,0.004808063322784208
Smad7,0.013684232083373627,0.015010065752911386,0.013458322096488022,0.014287893929250362,0.025935230488108182,0.02577968545879769,0.026812948335215858,0.01659513981245174,0.013180563683654244,0.015650762650314322,0.0035034597305388963,0.01274355708430501,0.00041848937182698145,0.002840543020037038
Lrrtm3,2.445548377341005,2.379162174852382,2.478478886408994,2.420295597183659,2.3239109042801616,2.352960110471263,2.2840145228401596,0.26464699209121273,0.1629574680575171,0.22519145841533714,0.12019702630781212,0.13400985105948054,0.03242201147426868,0.07643663013853579
Slc1a7,0.11005984397596297,0.1070410435181938,0.10622707091798808,0.1031529500391982,0.09956515832569579,0.09572448113823538,0.09291114986288902,0.010621126265901705,0.007665545267412017,0.014532925345051528,0.0007665545267412018,0.011411389023264275,0.003674720167087273,0.0031057312024060464
P2rx1,0.14542749746152622,0.07228906135252941,0.1379167055628498,0.06477456090855536,0.28167142288663094,0.2739937145892069,0.20557688429306809,0.07118006293694484,0.13650726718762593,0.06334658299287889,0.06126952362716121,0.12866637015296475,0.00783718769285471,0.06909187474929883
Tbx5,0.11770276402110473,0.08522903595881481,0.14350052652839168,0.11358556105822479,0.023050547114756726,0.05036327151197317,0.021673313455232632,0.15230757975173387,0.1206746840635072,0.12282752361983795,0.05836572475290525,0.09248488711744969,0.026312417742099935,0.029878729186951437
Piezo2,0.18625813687057438,0.3154356056089054,0.4157209842857849,0.0921102059819748,0.14057904666359838,0.3478451986446218,0.19506403491037025,0.911398611759564,0.33552178949069905,0.6370086671459526,0.7766901312297151,0.09691342457456563,0.24843312947917268,0.5378876957244056
Gna14,2.2723963276040084,2.3816638519030233,1.9760013382290005,2.076108889696454,2.402951954323285,2.0844116926488274,2.1379643767616026,0.47844365423333063,0.42412334633351423,0.17361781872107096,0.3906049133004948,0.13576245295095496,0.2736485992243849,0.10038899234529439
Dcn,1.2349621075802704,1.0940833636981513,1.1994561939044601,1.0441610922190658,1.2013641495950185,1.1491523687618415,1.011987118238665,0.14182803740512528,0.013988289444148325,0.20010791429364108,0.10056118180829081,0.07472519579530236,0.03906111066904989,0.15522998336003815
Kcnb2,1.157950704325519,1.4295963084450698,0.7996873997745315,1.054595792262399,1.3677233958304371,1.0001616913539633,1.262574462217952,0.8457201115321633,0.5667014000250521,0.46489993626864623,0.6374351548387422,0.19371376684418762,0.3613044142565524,0.2639880777862049
