,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a,Scn10a_Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn9a,Scn10a,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a,Scn7a_Scn9a,Scn7a,Scn11a,Scn11a_Scn7a
Myc,0.015587070494760595,0.01578119538154119,0.0001884151306907944,0.016295054654715455,0.01737415974143963,0.01793940555498954,0.0003768302613815888,0.016506308005126546,0.0018213463272045772,0.018122110699693696,0.001986923238175074,0.0016100930151096246,0.0002055437859019828,0.0014502256303320978
Zfhx2,0.007703818639779467,0.0038735490253292084,0.06205252700488491,0.04566027223609164,0.003657149792586814,0.04496779367475375,0.05303949021146781,0.054987085484497,0.05968295311909067,0.05332080928664451,0.052000774184750666,7.573978954910855e-05,0.006556901544459367,0.005496544723128929
Cacnb2,7.135424262931984,6.197377697305599,5.711862190049198,2.3542635951904005,4.754501208390057,0.9056743201602534,4.7796643891836075,1.4096882289473065,4.225800143908595,0.027203553643747075,3.3097884229885777,1.4688559124111533,0.933966022453449,0.5484236446527403
Ucn3,0.044128074311833,0.016400872928151507,0.12068613306592461,0.01347015339046301,0.12698129414584294,0.11782976985602583,0.06021914641643705,0.07621108455675818,0.2740624865444511,0.05509503389720544,0.21306883274680222,0.14290507435925506,0.06098125806035611,0.20397307596894454
Snap25,4.7075291119500084,4.105302763425659,1.6799952513571554,3.6367629243578086,3.09819681244836,2.641340605002631,1.076870113611079,3.0358098082092115,0.6704552942266244,2.021439157435554,0.05160228749081923,1.021597981645852,0.6054094294637306,0.3938325493230847
Nrg1,8.415949622608998,6.594630439160364,3.193371800203868,6.9806233750596,4.773228905790998,5.164748974605084,1.3849218679176472,5.159634283310024,1.215807655497757,3.380882396701021,0.5475176689021094,1.8932546072704601,1.8038302055357138,0.13322902343374257
Pclo,1.5819095691819527,0.9849527556666362,0.16494700160253684,2.3960733013092663,1.1010376317792359,2.520762136791373,0.7872786510553507,1.7805374615909555,0.015538917442515197,1.901232256496575,0.6438119307818759,0.14726204227936948,0.6419043218488748,0.7945712438813063
Snca,0.40871008001300124,0.24339922857007204,0.17260577811834685,0.4309732553005985,0.2264158413128623,0.411068388404032,0.010242830766112735,0.2569419363037645,0.16691238407468917,0.23915777534896585,0.01545224305924477,0.005895787512605006,0.19141069655695833,0.18304220069886476
Akap6,1.182062141249983,1.0662069804477516,1.9502712823021642,0.6297257600397912,0.42503307502670024,1.2604009163193393,1.8254586749736932,0.7643447352075312,1.306495035054544,1.4090815092630686,1.1718984334531062,0.6580948050078113,0.1441683580508149,0.5016294851973562
Lrrc7,5.413488179666863,5.029375297054936,3.0751353259475707,2.7039532707833493,3.8345697672962205,1.4924954963535575,2.6982785728658567,2.325654773361887,1.8607470451947243,1.120569352838619,1.4915186609125395,1.2213652308310725,0.3716005317012658,0.8557650088609725
Ptn,3.0186635397092876,2.9738420679707125,2.001971708537794,1.106915476957655,1.7718460817585004,0.09550293281791325,1.9390421784292597,1.0601934645448192,0.8268474144398532,0.15030229845406085,0.7562628771705783,1.193232308181738,0.06915912069203861,1.1167877483570776
Slc6a4,0.011208949487927453,0.013490179407175912,0.00584425031644365,0.0025366914866540254,0.004598313747424768,0.015484574445789908,0.008941165085294576,0.004513159570804096,0.011150685983616777,0.013543960270567682,0.008067216731381438,0.016842555984046517,0.0026801086863571465,0.019522665151631886
Kdr,0.03623805323878608,0.04306960595953782,0.09683170611452872,0.07383728378802427,0.09656632339016104,0.016120069869429147,0.0981757630708446,0.06714270251799044,0.14404476524489976,0.009108738493025063,0.14633051061973268,0.05478940183435976,0.0014125392920745054,0.05294025996051288
Syt1,8.75446265152662,7.686350000331683,4.897089333539178,4.886800170304431,7.560541672420873,4.759688476770391,3.8547222994475354,3.822416697674054,4.744322105141276,3.689778703744466,3.696698075089539,0.17195303044191707,1.041737928376855,0.8788161324249625
Creb1,0.11777490846618931,0.0015089279874419517,0.12103396856064759,0.11580040382632739,0.0020586489275451246,0.11633890166955978,0.002019383099054147,0.0018959763708426285,0.12423693905102226,0.0010040821185683412,0.007045403311074732,0.0032197941718572296,0.11790953292699742,0.12019816758274982
Tacr1,0.49905327884379985,0.16953974976458072,0.18022459593829854,0.6205923687637388,0.1106748671125509,0.5497016742182156,0.13142960626384695,0.2965280031887141,0.10467905052299509,0.2353655864309071,0.19632447275621726,0.0683539839524545,0.30727266067965026,0.2292074911625698
Cacna2d1,1.312147544646297,0.9591553749790402,4.5678246250133,2.876131443614642,0.3724506913492503,3.4310843004805816,4.224596822321739,3.259119190468739,3.9667894787194213,3.861840256214972,3.5729135266220444,0.6663650112255659,0.3725911895475823,0.24087767163504165
Kctd8,1.8588846257454408,2.6082515600349803,0.04668022029288217,1.1538062596611542,1.3636602969638791,0.07238883288965285,0.7041584761554974,1.9043690045627029,1.3018032547028187,0.6692977766529707,0.5579551005830619,1.2525475740864107,0.7520344376172637,1.997039601002952
