tf,up_accuracy,down_accuracy,avg_accuracy,up_overlap,down_overlap
Pou4f2_Neurog1,0.25125628140703515,0.46842105263157896,0.35983866701930706,2,8
Pou3f1_Atoh8,0.19597989949748743,0.5210526315789473,0.35851626553821736,1,1
Pou3f1_Neurod4,0.0,0.7157894736842105,0.35789473684210527,0,1
Pou3f2_Neurod2,0.40703517587939697,0.3,0.35351758793969845,5,4
Pou3f1_Neurog1,0.0,0.6842105263157895,0.34210526315789475,0,0
Pou4f1_Neurog1,0.12060301507537688,0.5631578947368421,0.34188045490610947,4,5
Pou1f1_Neurod6,0.07537688442211055,0.5578947368421052,0.3166358106321079,4,7
Pou1f1_Neurod1,0.04522613065326633,0.5421052631578948,0.29366569690558053,1,1
Pou3f1_Neurod6,0.0,0.5578947368421052,0.2789473684210526,0,0
Pou1f1_Myf5,0.07537688442211055,0.47368421052631576,0.2745305474742131,0,0
Pou3f1_Neurog2,0.005025125628140704,0.5157894736842106,0.26040729965617565,0,0
Pou3f1_Neurod1,0.0,0.49473684210526314,0.24736842105263157,0,0
Pou2f1_Ptf1a,0.020100502512562814,0.45789473684210524,0.23899761967733402,0,0
Pou3f1_Myf5,0.0,0.47368421052631576,0.23684210526315788,0,0
Pou4f3_Neurod6,0.020100502512562814,0.42105263157894735,0.22057656704575507,1,0
Pou4f3_Myf5,0.01507537688442211,0.4105263157894737,0.2128008463369479,0,0
Pou4f1_Neurod6,0.02512562814070352,0.4,0.21256281407035177,0,2
Pou4f1_Myf5,0.020100502512562814,0.35789473684210527,0.18899761967733403,0,0
Pou4f2_Neurod1,0.03015075376884422,0.34210526315789475,0.1861280084633695,0,2
Pou3f1_Neurod2,0.0,0.3631578947368421,0.18157894736842106,0,0
Pou4f3_Neurod1,0.0,0.3526315789473684,0.1763157894736842,0,0
Pou4f2_Myf5,0.01507537688442211,0.3368421052631579,0.17595874107379,0,0
Pou4f1_Neurod1,0.005025125628140704,0.33157894736842103,0.16830203649828088,0,0
Pou4f2_Neurod6,0.010050251256281407,0.30526315789473685,0.15765670457550912,0,0
Pou1f1_Neurod2,0.03015075376884422,0.28421052631578947,0.15718064004231685,0,0
Pou4f2_Neurod2,0.01507537688442211,0.23157894736842105,0.12332716212642159,0,0
Pou2f1_Ascl2,0.005025125628140704,0.23684210526315788,0.12093361544564929,0,0
Pou2f1_Atoh8,0.010050251256281407,0.22105263157894736,0.11555144141761438,0,0
Pou2f1_Ascl3,0.01507537688442211,0.19473684210526315,0.10490610949484264,0,0
Pou2f1_Myf5,0.005025125628140704,0.2,0.10251256281407035,0,0
Pou4f1_Neurod2,0.010050251256281407,0.19473684210526315,0.10239354668077227,0,0
Pou2f1_Neurog3,0.010050251256281407,0.19473684210526315,0.10239354668077227,0,0
Pou2f1_Neurog1,0.005025125628140704,0.19473684210526315,0.09988098386670193,0,0
Pou4f3_Neurod2,0.010050251256281407,0.17894736842105263,0.09449880983866701,0,0
Pou2f1_Ascl1,0.010050251256281407,0.17894736842105263,0.09449880983866701,0,0
Pou2f1_Atoh1,0.005025125628140704,0.17894736842105263,0.09198624702459667,0,0
Pou2f1_Neurod4,0.005025125628140704,0.17894736842105263,0.09198624702459667,0,0
Pou2f1_Neurod6,0.005025125628140704,0.1736842105263158,0.08935466807722825,0,0
Pou2f1_Neurod1,0.005025125628140704,0.16842105263157894,0.08672308912985982,0,0
Pou2f1_Neurog2,0.010050251256281407,0.15789473684210525,0.08397249404919332,0,0
Pou2f1_Neurod2,0.010050251256281407,0.14210526315789473,0.07607775720708806,0,0
