pathway,overlap,pathway_size,p_value,enrichment
GOBP_LIMB_BUD_FORMATION,2,6,0.03420429975116298,0.3333333333333333
GOBP_ASYMMETRIC_CELL_DIVISION,2,6,0.03420429975116298,0.3333333333333333
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,2,6,0.03420429975116298,0.3333333333333333
GOBP_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE,2,6,0.03420429975116298,0.3333333333333333
GOBP_TRIPARTITE_REGIONAL_SUBDIVISION,2,6,0.03420429975116298,0.3333333333333333
GOBP_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION,2,6,0.03420429975116298,0.3333333333333333
GOBP_EXTRACELLULAR_REGULATION_OF_SIGNAL_TRANSDUCTION,2,6,0.03420429975116298,0.3333333333333333
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_VIA_CHROMOSOMAL_CPG_ISLAND_METHYLATION,2,6,0.03420429975116298,0.3333333333333333
GOBP_HEPATOCYTE_APOPTOTIC_PROCESS,2,6,0.03420429975116298,0.3333333333333333
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE,2,6,0.03420429975116298,0.3333333333333333
GOBP_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING,2,6,0.03420429975116298,0.3333333333333333
GOBP_PHOSPHATIDYLINOSITOL_MEDIATED_SIGNALING,2,6,0.03420429975116298,0.3333333333333333
GOBP_MAMMARY_GLAND_FORMATION,2,6,0.03420429975116298,0.3333333333333333
GOBP_SYMPATHETIC_GANGLION_DEVELOPMENT,2,6,0.03420429975116298,0.3333333333333333
GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT,5,36,0.03474787902230774,0.1388888888888889
GOBP_CELL_FATE_COMMITMENT,16,192,0.03530167530389171,0.08333333333333333
GOBP_NEURON_RECOGNITION,4,25,0.03634695550659391,0.16
GOBP_BEHAVIOR,20,256,0.0363973216349825,0.078125
GOBP_CELL_FATE_SPECIFICATION,9,89,0.03703788314521353,0.10112359550561797
GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION,6,49,0.03740207393237008,0.12244897959183673
GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION,3,15,0.03824146277213223,0.2
GOBP_CARTILAGE_CONDENSATION,3,15,0.03824146277213223,0.2
GOBP_NEURAL_NUCLEUS_DEVELOPMENT,3,15,0.03824146277213223,0.2
GOBP_SPINAL_CORD_PATTERNING,3,15,0.03824146277213223,0.2
GOBP_GLIAL_CELL_FATE_COMMITMENT,3,15,0.03824146277213223,0.2
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,5,37,0.038565249283353566,0.13513513513513514
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,4,26,0.04128976913990446,0.15384615384615385
GOBP_ANIMAL_ORGAN_FORMATION,5,38,0.04262938905949076,0.13157894736842105
GOBP_MUSCLE_TISSUE_DEVELOPMENT,17,213,0.04354933276702708,0.07981220657276995
GOBP_CELL_GROWTH,11,121,0.044216220442852915,0.09090909090909091
GOBP_ERBB_SIGNALING_PATHWAY,6,51,0.04430160912021451,0.11764705882352941
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,6,51,0.04430160912021451,0.11764705882352941
GOBP_DIENCEPHALON_DEVELOPMENT,6,51,0.04430160912021451,0.11764705882352941
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION,3,16,0.0453376933470087,0.1875
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS,3,16,0.0453376933470087,0.1875
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION,3,16,0.0453376933470087,0.1875
GOBP_HYPOTHALAMUS_CELL_MIGRATION,2,7,0.04629274750483851,0.2857142857142857
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION,2,7,0.04629274750483851,0.2857142857142857
GOBP_HINDGUT_DEVELOPMENT,2,7,0.04629274750483851,0.2857142857142857
GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY,2,7,0.04629274750483851,0.2857142857142857
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM,2,7,0.04629274750483851,0.2857142857142857
GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,2,7,0.04629274750483851,0.2857142857142857
GOBP_DENDRITIC_SPINE_MAINTENANCE,2,7,0.04629274750483851,0.2857142857142857
GOBP_HINDGUT_MORPHOGENESIS,2,7,0.04629274750483851,0.2857142857142857
GOBP_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE,2,7,0.04629274750483851,0.2857142857142857
GOBP_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION,2,7,0.04629274750483851,0.2857142857142857
GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE,2,7,0.04629274750483851,0.2857142857142857
GOBP_RESPONSE_TO_X_RAY,2,7,0.04629274750483851,0.2857142857142857
GOBP_DICHOTOMOUS_SUBDIVISION_OF_AN_EPITHELIAL_TERMINAL_UNIT,2,7,0.04629274750483851,0.2857142857142857
GOBP_POSITIVE_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION,2,7,0.04629274750483851,0.2857142857142857
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,4,27,0.04659474971641932,0.14814814814814814
GOBP_ENDODERM_DEVELOPMENT,5,39,0.04694243326747847,0.1282051282051282
