gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Nfkb1,0.0005491972,0.0003131628,0.5691828311739864,0,0
Arid4b,0.0013318062,0.0006978512,0.5235954034427512,1,0
Il18rap,2.6538968e-05,1.4137477e-05,0.5133626285487531,0,0
Hoxc10,0.00083756447,0.00042396784,0.5055876502852547,1,1
Meis2,0.018651485,0.00931263,0.4992702044794568,1,1
Slit1,0.0018752217,0.00092597306,0.4935307272056389,0,1
Cxcl15,1.4550984e-05,7.1413815e-06,0.459223770019955,1,0
Clu,8.4638596e-05,3.7282705e-05,0.4353493254373297,1,0
Eng,0.0008125901,0.00034570694,0.42491537200366625,0,0
Ereg,2.7727336e-05,1.13509595e-05,0.3951274667445669,1,1
Tacr1,0.0012030303,0.00045737624,0.37987103812919,1,1
E2f1,0.0011934042,0.00038534403,0.3226244767056245,1,0
Irf7,9.667128e-06,3.222376e-06,0.30208468483738077,0,0
Khsrp,0.0014063716,0.00041115284,0.29214234534788114,0,0
Msr1,1.803413e-05,4.917383e-06,0.2583455613679217,1,0
Cebpg,9.292364e-05,2.3782253e-05,0.2532083828948708,0,0
Cd44,0.0015160441,0.00030511618,0.20112545179141464,1,0
Dapp1,0.0007033497,0.00012634695,0.17938099498019233,1,0
Fmod,0.0009954274,0.00016438961,0.16497901402550755,1,1
C3ar1,3.9823353e-05,5.9977174e-06,0.14691878445163484,1,0
Atf4,2.3692846e-05,3.1292439e-06,0.12672674101640613,1,0
Aplnr,2.321601e-05,2.8014183e-06,0.11568455331823863,1,1
Anxa1,0.00056536496,5.607307e-05,0.09900518916283238,1,0
Comp,0.00045695156,3.3132732e-05,0.07234986163165379,0,1
Zbtb17,0.00027912855,1.8209219e-05,0.06500308162092011,1,0
Hes1,9.745359e-06,5.066395e-07,0.04714961128799884,0,0
Ly6e,7.4654818e-06,3.427267e-07,0.04048519719220234,0,0
Pmp22,0.00074374676,2.9325485e-05,0.03937645193649449,0,1
Sntb1,0.009583354,0.0003553629,0.037077397182950465,1,1
E2f8,0.0022207499,7.212162e-05,0.032461628556841614,0,1
Shh,6.183982e-07,3.7252903e-08,0.02301837891317477,0,0
Lef1,0.0020064116,1.2993813e-05,0.006472919156190988,0,0
Igfbp1,0.0,0.0,0.0,0,0
Lamp3,0.0,0.0,0.0,0,0
Gli1,0.0007363558,0.0,0.0,0,1
