,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli1,Gli2_Gli3,Gli2,Gli3
Slc2a1,0.024209924131556006,0.13042138013425217,0.05916376574860648,0.05279185658942255,0.02573207241959028,0.08037383769883055,0.1091724260957921
Krt18,0.12478985516022932,0.08474349084375013,0.10091706130449891,0.06086491600572788,0.06436456088602599,0.020309514692514782,0.045171462102501184
Meis1,4.9558080153859265,4.254418074695723,1.998860864969042,1.3064871588035412,3.6488717540566524,2.9281009600781096,0.7273164935722083
Wnt2,0.5616044804644388,0.6619659845934555,0.42679649476434395,0.5147786834872612,0.02913967577072996,0.13545701943389343,0.09363256388149177
Fbln2,0.0160249819918156,0.09225480969213315,0.2441808797542651,0.3254174109154364,0.3158931253793356,0.2376712866288261,0.08225920207778939
Tfdp1,0.11894941897388571,0.029363103549992053,0.1194640144466762,0.028084413116859924,0.09714930608470089,0.005418841505808299,0.0946231090571006
Egr3,2.9426680177807225,1.8444210660404057,2.019409627700242,0.8944939797133665,2.2159171696504045,1.038507518954111,1.1777419408925196
Ly6e,0.003830153930448999,0.0026291229422581172,0.00013743142197037648,0.001499795132058621,0.0035015137130395622,0.0029936149692100606,0.000776786332962494
E2f8,0.3451880030483676,0.35784502671923646,0.011853714251302565,0.0016262120364236802,0.35706128896615585,0.36499644265074394,0.006064007534401296
Jun,0.07857592607082335,0.05953625557208077,0.05077245236233997,0.03105389686615337,0.04674028033382387,0.02811205842576891,0.018473931275142377
Col3a1,4.920280517016602,4.171549261271793,4.794034539649422,4.012027287255436,0.8385717364733798,0.12141340315532902,0.7488233946798211
Nrcam,17.844016312294652,12.130281888513954,10.8414212595158,5.002840976166237,12.719228193292977,7.005939330326305,5.8152273797821525
Ros1,0.378425505891189,0.01718286300425545,0.3254994082519145,0.06590491116095236,0.4220132688913386,0.07563679849519027,0.34969495380187043
Spock1,1.7486125749703645,0.9274622879957404,2.106936625067928,1.245191787920252,0.5187855741611869,0.2976452352115554,0.8589769227252183
Ssrp1,0.05498586103402475,0.0221737859845299,0.0350871311997448,0.0019466148867794096,0.0543449990487291,0.020996203195334812,0.03350100054130244
Slamf1,0.9191271282372798,0.574408798523119,0.5454650166835571,0.20161016218187183,0.6884984308251424,0.37796299461994004,0.35762097891281286
Atf3,0.17936123075673527,0.05729266659245597,0.08742821655360411,0.025191753692012764,0.20331703719442926,0.07171882869401609,0.12435811064380928
Cxcr6,0.02653702538832341,0.006042276528881335,0.018892320213612295,0.004021379969540555,0.031415754608006906,0.009828905831260197,0.022995352505736935
Id3,0.0018887092574678731,0.000202620147435468,0.0026919534914202612,0.0009407364508391945,0.0013676860558930178,0.0007887713038404284,0.0020913294049033416
