,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Jhy,-5.225092e-05,-1.8924475e-05,-0.00046232343,-8.3737075e-05,-0.00050324947,-0.00048378855,-0.000536114
A2m,0.00014156103,-9.842217e-05,-0.00021337718,4.185736e-05,-4.476309e-05,-0.00031282753,-0.0001450628
Dgkg,-0.00011341274,0.00024110824,0.000206206,0.00012582168,9.768456e-05,0.00045101345,0.0003408864
Ckm,3.4824014e-05,2.6501715e-05,-9.976327e-06,6.311387e-05,3.400445e-05,1.8909574e-05,6.324798e-05
Zfp36l2,-7.9829246e-05,-2.4277717e-05,1.8756837e-05,-0.00010078773,-5.93327e-05,-5.8077276e-06,-8.0209225e-05
Fev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrg3,0.0040767193,0.0016351938,0.00023156404,0.005722344,0.0043100715,0.0018367171,0.0059381723
Prg2,3.469363e-05,-1.4172867e-05,1.5161932e-06,1.7974526e-05,3.41665e-05,-1.2341887e-05,1.947768e-05
Nkx6-1,-0.00023113191,0.0001000613,-0.0009983331,-0.0001360625,-0.0012207776,-0.0009018034,-0.0011217892
Cadm2,0.008667469,-0.0027308464,0.057487965,0.005862236,0.06589794,0.054661274,0.063011646
Olfr1437,-2.367422e-06,9.377836e-06,-1.6150298e-06,7.4392883e-06,-4.418893e-06,8.062925e-06,5.6084245e-06
Zfp219,0.00051116943,-8.869171e-05,-0.00010317564,0.0004221201,0.0003848672,-0.00019216537,0.0002963543
Nts,-5.122274e-07,-8.156523e-06,-5.038455e-06,-8.888543e-06,-5.669892e-06,-1.3919547e-05,-1.4171004e-05
S100a3,3.0845404e-06,-9.156764e-06,1.9278377e-05,-6.996095e-06,2.7101487e-05,9.655952e-06,1.8291175e-05
Trim9,0.0023953319,0.0011348724,-0.003468573,0.0035181642,-0.0011945367,-0.0023700595,-7.635355e-05
Tnnc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Msc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp395,9.62317e-05,-1.1742115e-05,-7.6293945e-06,9.059906e-05,9.1448426e-05,-2.257526e-05,8.286536e-05
Sdk1,0.018784046,-0.0031957626,0.046089172,0.015548229,0.06448078,0.042778492,0.061131954
Nccrp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cx3cr1,-0.00020742416,-8.34167e-05,0.00016012788,-0.00028832257,-4.3675303e-05,7.44611e-05,-0.00012645125
Snai1,3.6358833e-06,0.0,-3.3304095e-06,3.6358833e-06,2.7380884e-07,-3.3304095e-06,2.7380884e-07
Ubtf,-2.9563904e-05,1.7881393e-07,4.9352646e-05,-2.9325485e-05,2.8133392e-05,5.00679e-05,2.8729439e-05
