,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli2_Gli3,Gli1,Gli2,Gli3
Lamp3,0.07545981177463307,0.04997595602229443,0.0014013965126538342,0.09784981614705457,0.022691843249122982,0.07289417842894352,0.024696918267548794
Clu,0.15483106201944707,0.11387506279079179,0.11770637637018831,0.07880201914553735,0.07625963684900927,0.03784010468703006,0.041754190218999995
Cdkn1a,0.008271632906351514,0.0018559358752659452,0.007762899162021719,0.007065745549850207,0.0011964662619520655,0.0006594695880245912,0.006557011805520413
Plg,0.0004946392600437536,0.0022258768012285244,0.0005467065749419613,0.0026228898949750014,0.002173809547478412,5.2067293059602086e-05,0.0026814655772824836
Col5a2,0.5338094753075066,0.6035391901716403,0.7384887170385125,0.27410267800090965,0.8064546241504261,0.20327451091715093,0.06792364150229116
Cebpb,0.010994641784699534,0.013120773154245171,0.010359113268191228,0.0011959489031238917,0.012606572950060648,0.0005257553211334207,0.0018199222034260738
Gli1,0.0,0.0,0.0,0.09054691029157133,0.0,0.05668576431695811,0.031775715423963506
Acta2,0.10398119504401945,0.07672533557826607,0.08578346858506372,0.044793780151478294,0.05835654524532542,0.017847457914344517,0.026962613670219016
Irf7,0.00605569898233892,0.004792442953487144,0.006803456159699824,0.010870801299526948,0.004849091058611313,1.6994478372968517e-05,0.011618558476887851
Gpx1,0.0008339754897325359,0.0005848659306962437,0.0007689904347782475,0.00029243296534812183,0.00048738827558020303,6.498510219928361e-05,0.0002491095590362922
Ncor2,0.046283852819239586,0.04163134940479413,0.043420000756283675,0.009616510228955863,0.03793346446858419,0.004702744859610164,0.0056372646692943945
Nedd9,0.22757743749506992,0.3227949207865058,0.12271753449035892,0.27574314944782646,0.03494943454196276,0.3605059683927829,0.08236091588682726
Col6a2,0.019745521135858347,0.05500168434253523,0.016515000793531014,0.11293361744800982,0.09206983878951917,0.03834172308241354,0.07481968362710657
Khsrp,0.06253266830477971,0.041660791691000745,0.023704575322477408,0.06077853121432537,0.00324752687286847,0.03910662389835507,0.020919288035272526
Prf1,0.003645246855914958,0.008538317593458295,0.003721644348029721,0.004816673636052735,0.008614715476197219,5.82075351009988e-05,0.004754828065799078
Rela,0.05812837131755331,0.04672675772499895,0.030607018028649312,0.03842362007222045,0.019717551704920684,0.027220464083358206,0.010921475420625808
Lox,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col1a1,0.0675739647591316,0.07994935300978985,0.042293434098126075,0.012384073222789057,0.055511215689785044,0.024420767375743176,0.012444864530869883
Hmox1,7.14139492555093e-05,0.01180115490520002,0.010146731927432723,0.019496007935883644,0.02264417352639775,0.00793289950690195,0.012670024639247084
Ncl,0.017135117822145173,0.0019081594523261906,0.004513678396948006,0.03174135127439083,0.014200078025765063,0.013119554119677598,0.017916774300086206
Col4a1,0.05141554459123922,0.07720256195180361,0.0018255775801760215,0.024513222815030995,0.02729561428703058,0.050218058357442225,0.025405466347546053
Col6a3,0.05671159125990048,0.17306057562869573,0.00958332992860415,0.2789852805768244,0.22145026413742022,0.04954599214974287,0.2307707999216726
Mylk,1.4078350334107108,0.854341610920662,1.0635869730629435,0.8969747623979714,0.514173114941709,0.34005272337692516,0.5531173192948656
Il7r,0.002216952035960914,0.00015916578844923018,0.002199898666749351,0.002216952035960914,0.0,0.00015916578844923018,0.002199898666749351
