,Gli2_Gli3,Gli2_Gli1_Gli3,Gli3,Gli1_Gli3,Gli2_Gli1,Gli2,Gli1
Ctcf,0.046417415720793276,0.07397044408827662,0.038096367822649725,0.06663522632476798,0.03226495040048136,0.0039600172368930734,0.029207215611027505
Dapp1,0.3996049921812218,0.48257135309405064,0.163808304457952,0.08275965417974036,0.6469480717841827,0.568856356113366,0.07528406994454263
Slc7a5,0.24698695783443148,0.2698288254596193,0.07860814713944983,0.10072488572418994,0.1804978861511841,0.15711601174213202,0.023243018480025083
Tgfbr3,0.4490089049599512,0.38784036560525254,0.3128404022934527,0.3833232822951551,0.6655965024404991,0.7326625323956807,0.07351021601278511
Foxn3,0.6615672633087036,0.9281440348689863,0.22551479790992376,0.4879541157146121,0.675480989793697,0.40550842909051216,0.26382443107911907
Eng,0.30214440434385376,0.31075909732536033,0.05242412220119768,0.05604340227411484,0.26109229065543177,0.252906050955414,0.002908530555711916
Aplnr,0.00828638654371198,0.0061476820617549395,0.008166759833934919,0.005715856237793236,0.0014442822245467654,0.00011087419135505287,0.0019198741338036526
Zbtb17,0.008580801604177362,0.010330084464342108,0.009450267610355572,0.011365163167166672,0.0007763089663383412,0.0012420943391950512,0.002111560362738997
Cdkn1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heyl,0.006412746486943014,0.006134481221962389,0.008670488623679553,0.008670488623679553,0.004970827133404918,0.005192174466622245,0.00044269453062333156
Cxcl12,0.047855232826187186,0.05000908792610038,0.04735390328087423,0.049625355646102536,0.0025066436976395484,0.004456255425550031,0.0023581018362761105
Atf1,0.0215154485812447,0.021437154489753158,0.0073597242026130875,0.00786081177380043,0.027442375934852128,0.026847334797089388,1.5658987748979195e-05
Ccl22,0.10626584008362375,0.5209274068148205,0.0910230926014495,0.5094384174210292,0.39872830684092214,0.014691807805087082,0.38751845975411564
Tnc,6.8049732328174795,7.032727318413022,3.6031657117444356,3.887486308398362,3.1777718367199164,2.927290300320925,0.29440588310627924
Prkca,1.6217747644026166,1.8528803888803826,0.7086991882448984,0.9346535918923302,1.1680773197586451,0.9364565371879133,0.2251244707320152
Atf5,0.018572131091344875,0.03037226457221876,0.09083341773208613,0.10410130151897762,0.05624681858962297,0.06655740421196668,0.011160717477007658
Spp1,0.441982407924594,0.03660092117976695,0.18311451422089597,0.2910330556148923,0.18124599687724813,0.29794183642829475,0.46657144875488654
Smad6,0.041241896121784305,0.005071299802188713,0.000330736933385979,0.03623574144358824,0.0007616972094723023,0.03676191321088231,0.03777416717971065
Ntm,7.344312071900417,5.950710584462346,9.803760993089384,8.465322794269294,3.652881121418329,2.2854096893536084,1.3181147697998736
Trp53,0.015240872095965908,0.01804548833711955,0.0011716651619303202,0.003782540961822932,0.01779639423586661,0.014309075889635056,0.002952227084604156
Cav1,0.05374191884662901,0.04156216330681768,0.10723731365938778,0.09371709066484353,0.06733917930926948,0.05972009047831164,0.010361651646919514
Cdh6,4.551038626145791,2.7689886930588545,3.392627842848851,1.6359333910264646,0.6806133520008727,1.1170673730687743,1.7814455332459778
Ifitm1,0.010168343028190238,0.12099977947354834,0.01665383671356341,0.12822534747022304,0.10438535422237624,0.005587771643683797,0.11102849728385704
Vegfc,0.11187613510922699,0.0737273117100208,0.09518646124352897,0.06009822943229611,0.021494169701360127,0.016913789309768282,0.0346049807552404
Slc2a1,0.029041305145706776,0.05482732254994268,0.030110041668145626,0.000588896154579416,0.08334516498382785,0.05883508862577088,0.02837607120653195
Krt18,0.03333229177992307,0.019292786413991472,0.0055828458276541105,0.008285286079364424,0.015515960405282232,0.026332313277443904,0.009616731936265778
Meis1,0.37775297368426236,0.5425575505966224,0.35533626988430783,0.5283555614523131,0.17119037964576428,0.007356435595194109,0.169984749853631
Wnt2,0.0971666353635624,0.12435072119972301,0.10165823843123123,0.12854191477794277,0.022809723367691614,0.008975878671646134,0.028568939889641168
Fbln2,0.18582159668792642,0.25423418497551836,0.02293764339387541,0.04413309190466868,0.2770532236771569,0.2100417939585951,0.067945538748032
Tfdp1,0.007688019774033128,0.025209349293174452,0.008756286810448774,0.026619111786239377,0.01716232211909837,0.0008055783806850426,0.018020438342578184
Egr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ly6e,0.0,0.0017089602046339446,0.0,0.0016911585196581259,0.0016822576921033383,0.0,0.001673356834682307
E2f8,0.03489277217821355,0.06147774219883085,0.007611253460442397,0.0345227304089562,0.04563849818431158,0.020214444444336236,0.02472024842438913
Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col3a1,0.5592602848822589,0.5231068738902598,0.15595654568069084,0.11720437602863665,0.37561007880507036,0.4114554553947526,0.03486589292128356
Nrcam,5.688247205923093,6.018175151994013,1.7179250774947037,2.0529922046385365,4.314702160496051,3.9763130364103607,0.344607171152343
Ros1,0.6894662556302997,0.617677212385541,0.12947112349638246,0.056365623581381925,0.4976548720585533,0.5727545242612313,0.0745855256678522
Spock1,2.6189521870792674,2.3822138386243323,2.121334000980123,1.8776017955777966,0.2273850990029759,0.4842624346681721,0.2557819034309331
Ssrp1,0.03201168378418794,0.03396926660217104,0.0095798629249681,0.012067034204500336,0.02361393692676335,0.02174146612928241,0.0022602045693528344
Slamf1,0.0455579019886974,0.045636562262220404,0.016348403688964997,0.016453285813281912,0.01766597690752703,0.017606982142289663,6.555093706252558e-05
Atf3,0.04263234546002579,0.03977285874975811,0.040457613251931604,0.043215655859339834,0.08559438936024893,0.08681807033927542,0.0016865264210965067
Cxcr6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id3,0.02790308790888523,0.08537671788302682,0.019640653635343945,0.07740822469215274,0.062443917092146625,0.008722053410667285,0.05432043488081815
Col1a2,0.5411865488021682,0.6143263380181114,0.01491549867109374,0.0896467594211178,0.6062996533987929,0.5311378174236762,0.07490809206705498
Myc,0.002313830492577901,0.018999030503151885,0.003434717142685822,0.018750834151993294,0.021368905478678056,0.0019695580998549517,0.019239220069766805
Fap,0.1153580707702716,0.13250858721918557,0.30490629150131693,0.324154830261625,0.1656973401253952,0.1880762805379965,0.025689149817027686
Lamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clu,0.07330053228612202,0.08308552619243549,0.03578104061416027,0.04528043166217018,0.04228781283528297,0.03327891334465266,0.008779176050249476
Cdkn1a,0.00861492120246111,0.0029957416534944262,0.0008744794728035943,0.010692892382273174,0.004294473422985914,0.0074633791962039776,0.01179248567555174
Plg,0.15378520092256787,0.15744931010661056,0.029387126826718582,0.03227549791050985,0.13048016127990728,0.12753401838822218,0.002335455406285074
Col5a2,0.237933760042216,0.22348657379607137,0.1772809932581816,0.16266433750943946,0.039528526205293374,0.05344612629764082,0.015214033968392607
Cebpb,0.1689665340695788,0.25277867792708314,0.1146021065415359,0.039876457783308145,0.3596771970451189,0.28354423613194074,0.06409355702533681
Gli1,0.06115266128513271,0.0,0.005417089776297263,0.0,0.0,0.060441445729154844,0.0
Acta2,0.019090158650363252,0.016011671598301445,0.011553173170521609,0.009607002840248813,0.0071300592692600155,0.008881612329041427,0.0010703935035519584
Irf7,0.01345423324864095,0.021301449993455082,0.013962184767006443,0.003978962417615121,0.046432081631374446,0.0380899360807453,0.01013951622692636
Gpx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncor2,0.19514708096622013,0.23209385100957225,0.12298753846975184,0.08506900499247629,0.3448776688265459,0.31132263058776444,0.03484122985562834
Nedd9,0.042973125679570505,0.0692547515447174,0.0007752883516921118,0.1157981142256008,0.0683687046287154,0.04391128875882777,0.11553751154851767
Col6a2,0.014084445709787393,0.05746795097226969,0.03404363005204133,0.008454932305782002,0.08036983233196258,0.03635727481285966,0.04362872834440791
Khsrp,0.05657647636986981,0.02228879285328334,0.00918355825147941,0.02461841198916631,0.011423231356308981,0.04539610029338147,0.034719427242304444
Prf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rela,0.0445848189540716,0.04195656876315251,0.06265954808619893,0.060692031513787006,0.02062222192442543,0.01772233737624501,0.0024740795059459276
Lox,0.002011750172481602,0.002483992027657904,0.0020306398948599057,0.0024367678484785962,0.0009917078261486862,0.0004061279726336586,0.0006044695315250733
Col1a1,0.02292040826684051,0.016908215799640483,0.010060517245744503,0.0037468535876182133,0.007364505566576196,0.013066614057383812,0.005788242703901338
Hmox1,0.06474122491228983,0.3203293945239238,0.032639584324728105,0.2888758686288431,0.2839954922535155,0.027966602284869482,0.2558927821078638
Ncl,0.00021737990103785343,0.0025650827921293454,0.0027172487173852985,6.521397031135602e-05,0.00591273333011179,0.0030759255021275862,0.002978104693453491
Col4a1,0.14432085586996737,0.16049098759616615,1.024909697147024,1.0114128150373527,1.1639014385403863,1.1460594191691513,0.014019342250807632
Col6a3,0.02575830434052967,0.07055574618905619,0.1976562886989759,0.29291460009444614,0.12206340500252326,0.2184490298556079,0.09582196812427743
Mylk,0.285879213684917,0.4870478795388122,0.17930252782939474,0.009439171449178423,0.6840436589053853,0.47703283995295875,0.19460883844858012
Il7r,0.0,0.006165226599250999,0.0,0.0053968781973172866,0.005667336836909972,0.0,0.0048989886989787195
