names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000054459,290362.0,-0.050788917,1.747463745715839e-06,3.2956034489044e-06
ENSMUSG00000020857,286089.0,-0.85384464,1.773565273376416e-06,3.3432133800554466e-06
ENSMUSG00000030386,172111.5,-0.19921236,1.777982055753024e-06,3.3499208022927568e-06
ENSMUSG00000058897,290321.0,0.21798135,1.8122151591610835e-06,3.412771984095824e-06
ENSMUSG00000031635,274273.0,-1.6951365,1.823857235642787e-06,3.4330395241090955e-06
ENSMUSG00000048992,268325.0,-1.7996272,1.839990159428138e-06,3.4617365487408847e-06
ENSMUSG00000063229,290118.0,0.09872495,1.9657869896393007e-06,3.696626907745808e-06
ENSMUSG00000071553,289440.0,-0.627606,1.996383563462876e-06,3.7523548480887e-06
ENSMUSG00000002265,172483.0,-0.17324594,2.0631920506767693e-06,3.876059403823185e-06
ENSMUSG00000074865,289832.0,0.24874018,2.075623346113108e-06,3.897537197561765e-06
ENSMUSG00000032735,289961.0,0.16982868,2.0930558362519917e-06,3.928380891320477e-06
ENSMUSG00000082361,286120.0,-0.9795604,2.1206483182208463e-06,3.978254681585453e-06
ENSMUSG00000009733,172613.0,-0.21395458,2.173003682158251e-06,4.074512430457229e-06
ENSMUSG00000015619,289667.0,-0.10093327,2.2924598241128045e-06,4.296435270743594e-06
ENSMUSG00000023019,172837.0,-1.048577,2.371273265987188e-06,4.44201069797504e-06
ENSMUSG00000037143,288721.0,0.28096372,2.3877005774774457e-06,4.470637069729843e-06
ENSMUSG00000037174,172851.5,-0.3115169,2.38922676480836e-06,4.471349082149746e-06
ENSMUSG00000050335,287899.0,-0.38873255,2.4409369894150504e-06,4.565932949519428e-06
ENSMUSG00000031022,286983.0,-0.359653,2.450443288400515e-06,4.581518788375088e-06
ENSMUSG00000046714,286748.5,-0.7481403,2.452648182745956e-06,4.5834450235032184e-06
ENSMUSG00000037583,188608.5,-5.372103,2.509029117314851e-06,4.686563722241526e-06
ENSMUSG00000039529,288972.0,-0.050245766,2.728129342468841e-06,5.093378322637998e-06
ENSMUSG00000009741,289240.0,0.1780668,2.786323103022738e-06,5.199537421326984e-06
ENSMUSG00000031706,289200.0,0.14233099,2.8306112363829937e-06,5.279658243004991e-06
ENSMUSG00000038346,289184.0,0.13347776,2.8485413782545168e-06,5.310563047276218e-06
ENSMUSG00000048756,289172.0,0.14378567,2.862046494807168e-06,5.333192656512688e-06
ENSMUSG00000033196,173446.0,-3.4261866,2.9665324914569604e-06,5.525255265711245e-06
ENSMUSG00000030549,283604.0,-0.5982529,2.9817398196352793e-06,5.550929759645449e-06
ENSMUSG00000045440,195240.0,-21.940811,3.021550634436403e-06,5.61968117433599e-06
ENSMUSG00000018927,195240.0,-23.107082,3.0215507697993103e-06,5.61968117433599e-06
ENSMUSG00000054134,284285.0,1.461738,3.0717721712935248e-06,5.710364465167858e-06
ENSMUSG00000036264,288965.0,0.2584733,3.104904934142184e-06,5.769209072868e-06
ENSMUSG00000000942,173593.0,-0.82364494,3.132942806285443e-06,5.8185353784511175e-06
ENSMUSG00000027102,288833.0,0.17897114,3.2699638922608967e-06,6.07012326717508e-06
