,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Adamts3,0.00017768145,0.00063049793,-4.3690205e-05,0.0035412312,0.00075119734,0.0001373887,0.0036913753,0.00057566166,0.0041896105,0.0035530329,0.00071805716,0.004287064,0.0037055612,0.0041851997
Kcnk3,2.7269125e-05,8.037686e-05,-8.9377165e-05,-0.0005760491,0.00010922551,-5.9574842e-05,-0.0005426407,-7.599592e-06,-0.00049075484,-0.0006661117,2.3573637e-05,-0.00045713782,-0.00063079596,-0.0005804002
Ppargc1a,-0.0001335442,-5.686283e-05,-6.9856644e-05,-0.0002399087,-0.00020807981,-0.00021570921,-0.00037568808,-0.00013014674,-0.0002951026,-0.00031614304,-0.00029191375,-0.00043714046,-0.0004630983,-0.00037518144
Aqp9,-1.7210841e-06,-6.1504543e-06,-2.1904707e-06,-6.357208e-05,-8.456409e-06,-4.5001507e-06,-6.5069646e-05,-8.881092e-06,-6.952882e-05,-6.690249e-05,-1.1481345e-05,-7.195771e-05,-6.916374e-05,-7.3257834e-05
Zscan22,-2.1025538e-05,2.476573e-05,3.1292439e-06,-1.0669231e-05,4.0084124e-06,-1.809001e-05,-3.093481e-05,2.8014183e-05,1.4424324e-05,-6.765127e-06,6.943941e-06,-6.2584877e-06,-2.7775764e-05,1.835823e-05
Zbtb5,2.3841858e-07,5.9604645e-08,-2.9802322e-08,-7.3611736e-06,2.9802322e-07,2.3841858e-07,-6.914139e-06,2.9802322e-08,-7.3313713e-06,-7.390976e-06,2.3841858e-07,-6.8843365e-06,-6.943941e-06,-7.3611736e-06
Gm14322,-6.3076615e-05,-1.3224781e-05,-6.3329935e-07,0.0001919195,-6.6548586e-05,-5.6177378e-05,0.00014524162,-1.7553568e-05,0.00018470734,0.00019927323,-6.632507e-05,0.0001444593,0.00015112013,0.0001842156
Gm3854,1.1533499e-05,3.6090612e-05,2.259016e-05,-0.00092336535,4.377961e-05,3.2752752e-05,-0.00091445446,5.7905912e-05,-0.0008877218,-0.0009046793,6.440282e-05,-0.00088113546,-0.0008966923,-0.0008691251
Gm13026,-1.8626451e-09,-1.4714897e-07,-4.284084e-08,-3.8295984e-06,-1.4714897e-07,-4.4703484e-08,-3.831461e-06,-1.9185245e-07,-3.958121e-06,-3.8724393e-06,-1.9185245e-07,-3.9599836e-06,-3.8724393e-06,-4.000962e-06
Ryr1,-8.9138746e-05,-9.9897385e-05,-0.00015062094,0.00089132786,-0.00018751621,-0.00023919344,0.0008046627,-0.00025045872,0.0007931888,0.0007480383,-0.00033679605,0.00070858,0.0006622672,0.000649631
Gm43824,1.46999955e-05,3.6619604e-05,2.2873282e-06,0.00020528585,5.374849e-05,1.6361475e-05,0.00021915883,3.927201e-05,0.00024475157,0.00020692497,5.6006014e-05,0.00026127696,0.0002200082,0.0002471283
Adamdec1,4.7124922e-07,-7.0780516e-08,-1.3038516e-08,-2.0116568e-06,3.9115548e-07,4.5914203e-07,-2.049841e-06,-8.288771e-08,-2.0451844e-06,-2.0256266e-06,3.7625432e-07,-2.0945445e-06,-2.0647421e-06,-2.058223e-06
