,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Klf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wnt6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abi3bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anxa1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Satb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camk4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ccnd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edil3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hgf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcf7l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid4a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2rx7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Csf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ets2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snai2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smad1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foxc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tgfb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meis2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco,0.0,0.0,0.0,0.0,0.0,0.0,0.0
