,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Ptgs1,-0.0002554953,-0.00024554133,7.739663e-05,-0.00049230456,-0.0001796782,-0.00016999245,-0.0004159212
Lgals3,8.504838e-06,5.680695e-05,1.0807067e-05,6.8195164e-05,1.994893e-05,7.2505325e-05,8.490309e-05
Ascl2,-2.1122396e-06,-4.2840838e-07,-6.519258e-07,-2.3059547e-06,-2.4810433e-06,-8.2328916e-07,-2.6784837e-06
Nr5a1,1.2060627e-06,-5.4296106e-07,1.3606623e-06,6.528571e-07,2.5918707e-06,8.242205e-07,2.0461157e-06
Ppp1r14c,-0.00043949485,-0.00092306733,0.00030403584,-0.0013333336,-0.00011996925,-0.00061906874,-0.0010190979
Mctp2,0.0004924387,0.0004864782,-0.00021351874,0.0009837598,0.0002875179,0.00027495623,0.00078724325
Cryba4,1.1171214e-06,-5.5879354e-08,1.4207326e-06,1.0556541e-06,2.5578775e-06,1.3364479e-06,2.4461187e-06
2610021A01Rik,0.00040906668,0.00031524897,0.0005913973,0.0007318258,0.0010076761,0.000903368,0.0013302565
Dnah3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nrp1,-0.0019416809,-0.008701086,0.008590937,-0.010639191,0.0067898035,-0.00044631958,-0.0022306442
Nr2e1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ell2,8.055568e-05,-0.00017499924,-0.00035899878,-9.727478e-05,-0.00028169155,-0.0005492568,-0.0004749298
Ferd3l,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm11007,-1.4547259e-06,-2.4214387e-06,-1.3494864e-06,-3.880821e-06,-2.656132e-06,-3.6191195e-06,-4.9360096e-06
L3mbtl4,0.00067397207,0.0010281354,0.0009861067,0.0017175227,0.0016774684,0.002056323,0.00276801
Cpeb1,0.0002348274,-0.0009345934,0.0010103583,-0.00071590394,0.0012622029,3.4049153e-05,0.00026643276
1700007G11Rik,-0.00029304624,-0.0016512573,-0.00027942657,-0.0019303113,-0.00058452785,-0.0021018833,-0.0024038404
Scrg1,-3.8683414e-05,-8.393824e-05,7.087737e-05,-0.00012620538,3.553927e-05,-3.2901764e-05,-7.265806e-05
Gm973,4.9386173e-05,4.61936e-07,-0.00031256676,5.0589442e-05,-0.00027089566,-0.00031794608,-0.00027050078
Gria2,-0.0014486015,0.0034874678,-0.00039866567,0.0019809306,-0.0018779337,0.0030879676,0.0015461147
Cnfn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stmn2,2.2478402e-05,-0.0005204901,-0.00013263524,-0.0005011484,-0.00011181086,-0.0006318018,-0.0006095618
Lbx1,-8.866191e-07,-3.054738e-07,3.5390258e-07,-1.2032688e-06,-5.9604645e-07,4.0978193e-08,-9.0524554e-07
Olfm5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comp,-0.00015548617,0.0015290603,-4.17009e-05,0.0013691261,-0.00019037724,0.0014723167,0.0013156533
Slc4a5,4.5880675e-05,0.0010306984,0.0004926622,0.0010962784,0.0005662739,0.0016234815,0.0017042533
Tub,1.4677644e-05,0.00024573505,-0.00032570958,0.0002565086,-0.00031159818,-8.930266e-05,-8.037686e-05
Bpifb5,1.40387565e-05,-0.00016577356,4.245527e-05,-0.00015248172,5.815178e-05,-0.0001243949,-0.000110650435
Cfap46,0.00018905103,-0.00036675856,0.00036858767,-0.00017520785,0.0005724542,1.1257827e-05,0.00021578372
Pdzd2,0.0020748377,0.006984234,0.007129431,0.009219766,0.009142637,0.013942003,0.016107798
Foxf2,0.000159204,5.337596e-05,0.00012487173,0.00021976233,0.00027304888,0.00016793609,0.00032141805
Zfp954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid2,-0.0027326345,0.011077762,-0.0033049583,0.008171558,-0.005890608,0.007682562,0.004935384
Sox10,-0.0011486709,-0.0009598583,-0.0007369444,-0.0021212325,-0.0018576086,-0.0016905516,-0.0028239638
Acacb,-0.00012549758,-0.000660643,0.00058199465,-0.00081142783,0.0004387647,-8.314848e-05,-0.0002528131
Cpa2,-0.00021497905,0.00032266974,0.00048846006,0.000103607774,0.00027507544,0.0008097738,0.0005941838
Phyhipl,0.00027368963,0.0008331984,0.0007593781,0.0011137426,0.0010428131,0.0016245395,0.0019206107
Serpinb1a,4.2691827e-06,-8.0525875e-05,-2.592802e-05,-7.4863434e-05,-2.1189451e-05,-0.0001065284,-0.00010178983
Hinfp,-0.0002487898,0.0003976822,-0.00027775764,0.00013542175,-0.000526011,0.00013256073,-0.00012779236
Xbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emx2,0.00024718046,-7.0035458e-06,0.00018310547,0.00023758411,0.0004297495,0.00016030669,0.00039470196
